SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTSARMIX,2023-10-17,1,1,1,1,,,,,2023-03-08,0,B,C,,W,,,NY,BLAME,BLAME,YASS QUEEN,YASS QUEEN,MINESHAFT,MINESHAFT,,,,,,LILI KOBIELSKI,,THE NEW HILL FARM AGENT,,,,BRONCO BLOODSTOCK,,,,35000,,https://vimeo.com/874600388?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,2,2,,,,,2023-04-16,0,CH,F,,W,,,NY,VOLATILE,VOLATILE,ZIFENA (GB),ZIFENA (GB),ZAMINDAR,ZAMINDAR,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,3,3,,,,,2023-04-23,0,B,F,,W,,,NY,GALILEAN,GALILEAN,ACUSHLA,ACUSHLA,TIZNOW,TIZNOW,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,4,4,,,,,2023-03-27,0,B,C,,W,,,NY,GIFT BOX,GIFT BOX,A CUT AHEAD,A CUT AHEAD,TIZ WONDERFUL,TIZ WONDERFUL,,,,,,INDIAN CREEK FARM,,INDIAN CREEK AGENT FOR BOYD T. BROWNING JR.,,,,CYPRESSHEAD RACING LLC,,,,25000,,https://vimeo.com/873285011?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,5,5,,,,,2023-04-22,0,B,F,,W,,,NY,SOLOMINI,SOLOMINI,ADIRA,ADIRA,QUALITY ROAD,QUALITY ROAD,,,,,,MCMAHON OF SARATOGA THB LLC,,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,6,6,ADULT IN THE ROOM,ADULT IN THE ROOM,,,2015-01-27,8,GRR,M,,B,,,MD,THE FACTOR,THE FACTOR,MUSIC PLEASE,MUSIC PLEASE,BOWMAN'S BAND,BOWMAN'S BAND,,,,,,INDIAN CREEK FARM,,INDIAN CREEK AGENT,,,,SUSAN K DEPAULA,,,,26000,,,,,T,2015
2023,Y,23FTSARMIX,2023-10-17,1,1,7,7,,,,,2023-02-17,0,B,C,,W,,,NY,LOOKIN AT LUCKY,LOOKIN AT LUCKY,ADULT IN THE ROOM,ADULT IN THE ROOM,THE FACTOR,THE FACTOR,,,,,,INDIAN CREEK FARM,,INDIAN CREEK AGENT,,,,REEVES THOROUGHBRED RACING,,,,50000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,8,8,,,,,2023-04-15,0,B,C,,W,,,NY,PRACTICAL JOKE,PRACTICAL JOKE,AILISH,AILISH,TWIRLING CANDY,TWIRLING CANDY,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,9,9,,,,,2023-03-26,0,CH,C,,W,,,NY,VEKOMA,VEKOMA,ALANA'S ALLURE,ALANA'S ALLURE,SHACKLEFORD,SHACKLEFORD,,,,,,VINERY SALES,,VINERY SALES AGENT XXX,,,,GOOD LUCK FARM,,,,100000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,10,10,,,,,2023-02-17,0,CH,C,,W,,,NY,COUNTRY HOUSE,COUNTRY HOUSE,ALB,ALB,PULPIT,PULPIT,,,,,,SARATOGA GLEN FARM LLC,,SARATOGA GLEN FARM AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,11,11,ALHUCEMA,ALHUCEMA,,,2008-01-31,15,CH,M,,B,,,KY,ALDEBARAN,ALDEBARAN,SUN IS UP (JPN),SUN IS UP (JPN),SUNDAY SILENCE,SUNDAY SILENCE,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,DOMINIQUE DAMICO,,,,1000,,,,,T,2008
2023,Y,23FTSARMIX,2023-10-17,1,1,12,12,,,,,2023-05-15,0,B,C,,W,,,NY,FOG OF WAR,FOG OF WAR,ALINEA,ALINEA,HARD SPUN,HARD SPUN,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,1000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,13,13,,,,,2023-02-20,0,B,C,,W,,,NY,KING FOR A DAY,KING FOR A DAY,ALL OVER THE MAP,ALL OVER THE MAP,LIAM'S MAP,LIAM'S MAP,,,,,,VINERY SALES,,VINERY SALES AGENT XXXVII,,,,NOT SOLD,,,,9000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,14,14,ALLURING MISS,ALLURING MISS,,,2013-04-19,10,B,M,,B,,,KY,SHAMARDAL,SHAMARDAL,LOVE STYLE,LOVE STYLE,MR. PROSPECTOR,MR. PROSPECTOR,,,,,,VINERY SALES,,VINERY SALES AGENT XL,,,,LUIS SEGLIN,,,,2000,,,,,T,2013
2023,Y,23FTSARMIX,2023-10-17,1,1,15,15,,,,,2023-03-18,0,DKB,C,,W,,,NY,HARD SPUN,HARD SPUN,ALLURING MISS,ALLURING MISS,SHAMARDAL,SHAMARDAL,,,,,,VINERY SALES,,VINERY SALES AGENT XL,,,,FIRE BRIGADE BLOODSTOCK,,,,32500,,,,,T,2023
