SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTSAUG,8/13/2023,1,1,301,301,,,,,3/18/2022,1,B,C,,Y,,,NY,HONEST MISCHIEF,HONEST MISCHIEF,LATE FOR CHURCH,LATE FOR CHURCH,FOREFATHERS,FOREFATHERS,,,,,,,,SEQUEL NY AGENT VIII,,,,III BEAUTYS THOROUGHBREDS LLC,,,,46000,,https://vimeo.com/852173876,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,302,302,,,,,5/13/2022,1,B,C,,Y,,,NY,KING FOR A DAY,KING FOR A DAY,LAVENDER HILL,LAVENDER HILL,LANGFUHR,LANGFUHR,,,,,,,,TAYLOR MADE SALES AGENCY AGENT LXXII,,,,DR. CORNELIUS LINK,,,,17500,,https://vimeo.com/853862168,,Y,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,303,303,,,,,3/4/2022,1,CH,C,,Y,,,NY,SOLOMINI,SOLOMINI,LAZEKA,LAZEKA,BELONG TO ME,BELONG TO ME,,,,,,,,TAYLOR MADE SALES AGENCY AGENT LXII,,,,OUT,,,,0,,https://youtu.be/dNqybPFRcrA,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,304,304,,,,,2/17/2022,1,B,F,,Y,,,NY,GLOBAL CAMPAIGN,GLOBAL CAMPAIGN,LEFREAKCESTCHIC,LEFREAKCESTCHIC,BELLAMY ROAD,BELLAMY ROAD,,,,,,,,VINERY SALES AGENT IV,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,305,305,,,,,2/1/2022,1,DKB,F,,Y,,,NY,VIOLENCE,VIOLENCE,LEGALLY BAY,LEGALLY BAY,READ THE FOOTNOTES,READ THE FOOTNOTES,,,,,,,,TAYLOR MADE SALES AGENCY AGENT XVII,,,,NOT SOLD,,,,32000,,https://youtu.be/upWGVntFQ90,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,306,306,,,,,3/10/2022,1,B,C,,Y,,,NY,VIOLENCE,VIOLENCE,LIAM'S LOOKOUT,LIAM'S LOOKOUT,LIAM'S MAP,LIAM'S MAP,,,,,,,,HILL 'N' DALE AT XALAPA AGENT,,,,BACCARI BLOODSTOCK,,,,380000,,https://vimeo.com/849941252?share=copy,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,307,307,,,,,3/21/2022,1,DKB,C,,Y,,,NY,CENTRAL BANKER,CENTRAL BANKER,LIBERTY FUZE,LIBERTY FUZE,MASS MEDIA,MASS MEDIA,,,,,,,,DENALI STUD AGENT IX,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,308,308,,,,,2/4/2022,1,CH,F,,Y,,,NY,GLOBAL CAMPAIGN,GLOBAL CAMPAIGN,LIENAU,LIENAU,GIO PONTI,GIO PONTI,,,,,,,,HUNTER VALLEY FARM AGENT,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,309,309,,,,,3/1/2022,1,DKB,F,,Y,,,NY,OMAHA BEACH,OMAHA BEACH,LIFT,LIFT,PULPIT,PULPIT,,,,,,,,SONG HILL THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTSAUG,8/13/2023,1,1,310,310,,,,,2/13/2022,1,CH,C,,Y,,,NY,FROSTED,FROSTED,LITERATA,LITERATA,READ THE FOOTNOTES,READ THE FOOTNOTES,,,,,,,,VINERY SALES AGENT FOR MAJESTIC VIEW FARMS & PARADISE FARMS CORP.,,,,KINGS EQUINE,,,,40000,,,,,T,2022
