SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEENOV19,2019-11-06,1,1,1,1,Ladies Night,Ladies Night,,,2015-03-04,8,B,F,,BRP,,,,Eskendereya,Eskendereya,Lemondropontherox,Lemondropontherox,,,,,,,,,,"Taylor Made Sales Agency, Agent CXX ",,,,Hinkle Farms,,,,90000,,,,,T,2015
2019,Y,KEENOV19,2019-11-06,1,1,2,2,Jetinwithclass,Jetinwithclass,,,2019-05-21,4,B,F,,W,,,,Classic Empire,Classic Empire,Lady Leftennant,Lady Leftennant,,,,,,,,,,"Wynnstay Sales, Agent VI ",,,,"R.N.A. (240,000)",,,,,,,,,T,2019
2019,Y,KEENOV19,2019-11-06,1,1,3,3,Lafta,Lafta,,,2014-02-14,9,CH,M,,BRP,,,,Kitten's Joy,Kitten's Joy,Marraasi,Marraasi,,,,,,,,,,"Taylor Made Sales Agency, Agent LXI ",,,,"Shimokobe Farm/ Polo Green Stable, Agent",,,,375000,,,,,T,2014
2019,Y,KEENOV19,2019-11-06,1,1,4,4,Frost Lake,Frost Lake,,,2019-02-12,4,GR/RO,F,,W,,,,Frosted,Frosted,Lakenheath,Lakenheath,,,,,,,,,,"Mulholland Springs, Agent ",,,,Out,,,,0,,,,,T,2019
2019,Y,KEENOV19,2019-11-06,1,1,5,5,La Manta Gris,La Manta Gris,,,2014-02-11,9,GR/RO,M,,B,,,,Lemon Drop Kid,Lemon Drop Kid,Quiero Ganar,Quiero Ganar,,,,,,,,,,"Lane's End, Agent ",,,,"R.N.A. (485,000)",,,,,,,,,T,2014
2019,Y,KEENOV19,2019-11-06,1,1,6,6,Laseen (IRE),Laseen (IRE),,,2011-03-30,12,B,M,,B,,,,Dylan Thomas (IRE),Dylan Thomas (IRE),La Seine,La Seine,,,,,,,,,,"Taylor Made Sales Agency, Agent LXI ",,,,"HnR Nothhaft/ Agent, Ballysax",,,,200000,,,,,T,2011
2019,Y,KEENOV19,2019-11-06,1,1,7,7,Laskarina,Laskarina,,,2014-05-03,9,B,M,,B,,,,Distorted Humor,Distorted Humor,General Jeanne,General Jeanne,,,,,,,,,,"Bedouin Bloodstock, Agent XI ",,,,Woodford Thoroughbreds,,,,750000,,,,,T,2014
2019,Y,KEENOV19,2019-11-06,1,1,8,8,Chopin Drive,Chopin Drive,,,2019-01-31,4,B,F,,W,,,,Super Saver,Super Saver,Laskarina,Laskarina,,,,,,,,,,"Bedouin Bloodstock, Agent XI ",,,,"R.N.A. (75,000)",,,,,,,,,T,2019
2019,Y,KEENOV19,2019-11-06,1,1,9,9,Curlin's Truth,Curlin's Truth,,,2019-04-05,4,CH,F,,W,,,,Curlin,Curlin,La Verdad,La Verdad,,,,,,,,,,"Denali Stud, Agent for Lady Sheila Stable LLC ",,,,"R.N.A. (600,000)",,,,,,,,,T,2019
2019,Y,KEENOV19,2019-11-06,1,1,10,10,,,,,2019-04-16,4,B,F,,W,,,,Gun Runner,Gun Runner,Liberty's Lyric,Liberty's Lyric,,,,,,,,,,"Taylor Made Sales Agency, Agent CXCVII ",,,,"Backstretch Farms, Inc",,,,225000,,,,,T,2019
2019,Y,KEENOV19,2019-11-06,1,1,11,11,Liberty's Lyric,Liberty's Lyric,,,2008-01-18,15,GR/RO,M,,B,,,,Unbridled's Song,Unbridled's Song,Hello Liberty,Hello Liberty,,,,,,,,,,"Taylor Made Sales Agency, Agent CXCVII ",,,,Out,,,,0,,,,,T,2008
2019,Y,KEENOV19,2019-11-06,1,1,12,12,Life Well Lived,Life Well Lived,,,2007-03-26,16,B,M,,B,,,,Tiznow,Tiznow,Well Dressed,Well Dressed,,,,,,,,,,"Stone Farm, Agent ",,,,"R.N.A. (775,000)",,,,,,,,,T,2007
2019,Y,KEENOV19,2019-11-06,1,1,13,13,Lil Indy,Lil Indy,,,2007-03-13,16,CH,M,,B,,,,Anasheed,Anasheed,Cresta Lil,Cresta Lil,,,,,,,,,,"Lane's End, Agent ",,,,Summer Wind Equine,,,,1850000,,,,,T,2007
2019,Y,KEENOV19,2019-11-06,1,1,14,14,Athena's War (KOR),Athena's War (KOR),,,2019-03-28,4,B,F,,W,,,,New Year's Day,New Year's Day,Lil Indy,Lil Indy,,,,,,,,,,"Lane's End, Agent ",,,,"R.N.A. (190,000)",,,,,,,,,T,2019
