SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEESEPT19,2019-09-09,1,1,1,1,Illiogami,Illiogami,,,,,GR/RO,F,,Y,,,,Tapit,Tapit,Odeliz (IRE),Odeliz (IRE),,,,,,,,,,"Gainesway, Agent LXV ",,,,Reiko and Michael Baum,,,,400000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,2,2,Monorail,Monorail,,,,,B,F,,Y,,,,Into Mischief,Into Mischief,Off the Tracks,Off the Tracks,,,,,,,,,,Blake-Albina Thoroughbred Services LLC ,,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,3,3,Gold for Kitten,Gold for Kitten,,,,,B,F,,Y,,,,Kitten's Joy,Kitten's Joy,Olympic Avenue,Olympic Avenue,,,,,,,,,,"Taylor Made Sales Agency, Agent VI ",,,,"R.N.A. (95,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,4,4,Silver Devil,Silver Devil,,,,,GR/RO,F,,Y,,,,Tapit,Tapit,Ondine,Ondine,,,,,,,,,,"Gainesway, Agent L ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,5,5,Maritime Empire,Maritime Empire,,,,,DB/BR,F,,Y,,,,Empire Maker,Empire Maker,One Stormy Mama,One Stormy Mama,,,,,,,,,,"Taylor Made Sales Agency, Agent CLXXXI ",,,,"R.N.A. (140,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,6,6,On the Engine,On the Engine,,,,,CH,C,,Y,,,,More Than Ready,More Than Ready,Onna Bugeisha,Onna Bugeisha,,,,,,,,,,"Select Sales, Agent XXVII ",,,,"R.N.A. (160,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,7,7,Giverny,Giverny,,,,,GR/RO,F,,Y,,,,Tapit,Tapit,Oscar Party,Oscar Party,,,,,,,,,,"Lane's End, Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,8,8,American Smooth,American Smooth,,,,,B,C,,Y,,,,Malibu Moon,Malibu Moon,Our Khrysty,Our Khrysty,,,,,,,,,,"Woods Edge Farm (Peter O'Callaghan), Agent ",,,,"R.N.A. (200,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,9,9,Cindy's Smile,Cindy's Smile,,,,,DB/BR,F,,Y,,,,American Pharoah,American Pharoah,Our Smile,Our Smile,,,,,,,,,,"Buck Pond Farm (Douglas S. Arnold), Agent ",,,,"R.N.A. (145,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,10,10,Mamie Van D,Mamie Van D,,,,,B,F,,Y,,,,Curlin,Curlin,Overandabeauty,Overandabeauty,,,,,,,,,,"Lane's End, Agent ",,,,"Shawn Dugan, Agent",,,,750000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,11,11,Mozu Happy Road,Mozu Happy Road,,,,,B,C,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Overheard,Overheard,,,,,,,,,,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent X ",,,,Capital System Co. Ltd,,,,425000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,12,12,Nothngoodcomseasy,Nothngoodcomseasy,,,,,B,C,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Overprepared,Overprepared,,,,,,,,,,"Woodford Thoroughbreds, Agent I ",,,,China Horse Club and Maverick Racing,,,,200000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,13,13,Desert Eagle,Desert Eagle,,,,,DB/BR,C,,Y,,,,Lemon Drop Kid,Lemon Drop Kid,Oxbow Lake,Oxbow Lake,,,,,,,,,,"Taylor Made Sales Agency, Agent CXXXVIII ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,14,14,Now a Jaguar,Now a Jaguar,,,,,DB/BR,C,,Y,,,,Street Sense,Street Sense,Panther Strike,Panther Strike,,,,,,,,,,"Taylor Made Sales Agency, Agent CLXXII ",,,,Albaugh Family Stables,,,,225000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,15,15,Temper Time,Temper Time,,,,,DB/BR,F,,Y,,,,Malibu Moon,Malibu Moon,Parading Lady,Parading Lady,,,,,,,,,,"Beau Lane Bloodstock, Agent I ",,,,Mark Stanley,,,,250000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,16,16,Queen's Speech,Queen's Speech,,,,,CH,F,,Y,,,,American Pharoah,American Pharoah,Paradise Playgirl,Paradise Playgirl,,,,,,,,,,"Taylor Made Sales Agency, Agent LXXXI ",,,,MV Magnier,,,,180000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,17,17,Taakeed,Taakeed,,,,,DB/BR,C,,Y,,,,Hard Spun,Hard Spun,Parting Words,Parting Words,,,,,,,,,,"Paramount Sales, Agent VIII ",,,,"Catlyn Spivey, Agent",,,,130000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,18,18,Pipistrella (GB),Pipistrella (GB),,,,,B,F,,Y,,,,Giant's Causeway,Giant's Causeway,Patsy Boyne (IRE),Patsy Boyne (IRE),,,,,,,,,,"Taylor Made Sales Agency, Agent CXCVII ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,19,19,Smoke Stack,Smoke Stack,,,,,GR/RO,C,,Y,,,,Tapit,Tapit,Pavati,Pavati,,,,,,,,,,"Taylor Made Sales Agency, Agent CXXXVIII ",,,,"R.N.A. (250,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,20,20,Perfection,Perfection,,,,,B,F,,Y,,,,Malibu Moon,Malibu Moon,Perfect Cause,Perfect Cause,,,,,,,,,,"Warrendale Sales, Agent XII ",,,,"Bradley Thoroughbreds, Agent",,,,100000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,21,21,Speight'spercomete,Speight'spercomete,,,,,B,C,,Y,,,,Speightstown,Speightstown,Perfect La Comete,Perfect La Comete,,,,,,,,,,"Hunter Valley Farm, Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,22,22,Kitten Tales,Kitten Tales,,,,,CH,F,,Y,,,,Kitten's Joy,Kitten's Joy,Perfect Story,Perfect Story,,,,,,,,,,"Woods Edge Farm (Peter O'Callaghan), Agent ",,,,"Don Robinson, Agent",,,,325000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,23,23,Willabel,Willabel,,,,,DB/BR,F,,Y,,,,War Front,War Front,Photo Call (IRE),Photo Call (IRE),,,,,,,,,,"Denali Stud, Agent XLVIII ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,24,24,Value Creation,Value Creation,,,,,B,C,,Y,,,,Uncle Mo,Uncle Mo,Picardia,Picardia,,,,,,,,,,"Indian Creek, Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,25,25,Big Rose,Big Rose,,,,,DB/BR,F,,Y,,,,Pioneerof the Nile,Pioneerof the Nile,Placentia,Placentia,,,,,,,,,,"Taylor Made Sales Agency, Agent XXVIII ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,26,26,,,,,,,B,C,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Play Ballado,Play Ballado,,,,,,,,,,"Ballysax Bloodstock, Agent I ",,,,"R.N.A. (190,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,27,27,Please the Pharaoh,Please the Pharaoh,,,,,B,C,,Y,,,,American Pharoah,American Pharoah,Please Sign In,Please Sign In,,,,,,,,,,"Woods Edge Farm (Peter O'Callaghan), Agent ",,,,Spartan Bloodstock,,,,250000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,28,28,Op Ed,Op Ed,,,,,B,C,,Y,,,,Into Mischief,Into Mischief,Poof Too,Poof Too,,,,,,,,,,"Taylor Made Sales Agency, Agent CXXXVIII ",,,,Oxo Equine LLC,,,,750000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,29,29,Galilee,Galilee,,,,,B,C,,Y,,,,Pioneerof the Nile,Pioneerof the Nile,Pretty 'n Smart,Pretty 'n Smart,,,,,,,,,,"VanMeter-Gentry Sales, Agent XXVI ",,,,Fox Hill Farm,,,,475000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,30,30,Arjun,Arjun,,,,,GR/RO,C,,Y,,,,War Front,War Front,Princesa Silvia,Princesa Silvia,,,,,,,,,,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,,,Phoenix Thoroughbreds III,,,,475000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,31,31,Bugle of War,Bugle of War,,,,,B,C,,Y,,,,War Front,War Front,Princess Sinead (IRE),Princess Sinead (IRE),,,,,,,,,,"Eaton Sales, Agent ",,,,Andrew Farm & For The People,,,,400000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,32,32,Derby Model,Derby Model,,,,,B,C,,Y,,,,Bernardini,Bernardini,Prissy,Prissy,,,,,,,,,,"Taylor Made Sales Agency, Agent VI ",,,,"R.N.A. (70,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,33,33,Salute the Flag,Salute the Flag,,,,,CH,F,,Y,,,,Curlin,Curlin,Private Ensign,Private Ensign,,,,,,,,,,"Taylor Made Sales Agency, Agent for Siena Farm LLC ",,,,Fox Hill Farm,,,,500000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,34,34,Notary Sojac,Notary Sojac,,,,,CH,C,,Y,,,,American Pharoah,American Pharoah,Prize Doll,Prize Doll,,,,,,,,,,"Taylor Made Sales Agency, Agent CLXXII ",,,,"R.N.A. (200,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,35,35,Cajole,Cajole,,,,,B,F,,Y,,,,Flatter,Flatter,Profess,Profess,,,,,,,,,,"Claiborne Farm, Agent ",,,,Harris Training Center LLC,,,,100000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,36,36,Honest Money,Honest Money,,,,,B,C,,Y,,,,Honor Code,Honor Code,Profit,Profit,,,,,,,,,,"Burleson Farms, Agent ",,,,"F Brothers, Agent for Starlight",,,,265000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,37,37,War Monarch,War Monarch,,,,,B,C,,Y,,,,War Front,War Front,Queen Nefertiti (IRE),Queen Nefertiti (IRE),,,,,,,,,,"Claiborne Farm, Agent ",,,,Mercer Bloodstock,,,,150000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,38,38,Jovial,Jovial,,,,,B,C,,Y,,,,Runhappy,Runhappy,Queen of Empire,Queen of Empire,,,,,,,,,,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,,,Marchmont Stable,,,,450000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,39,39,Candy's Parade,Candy's Parade,,,,,CH,F,,Y,,,,Candy Ride (ARG),Candy Ride (ARG),Queen's Parade,Queen's Parade,,,,,,,,,,"Lane's End, Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,40,40,Felice,Felice,,,,,B,F,,Y,,,,Runhappy,Runhappy,Queens Plaza,Queens Plaza,,,,,,,,,,"Woods Edge Farm (Peter O'Callaghan), Agent ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,41,41,Floodgate,Floodgate,,,,,B,C,,Y,,,,Into Mischief,Into Mischief,Queen's Wood,Queen's Wood,,,,,,,,,,"Vinery Sales, Agent for Haymarket Farm LLC ",,,,China Horse Club and Maverick Racing,,,,560000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,42,42,Alejandro,Alejandro,,,,,B,C,,Y,,,,Curlin,Curlin,Rachel's Valentina,Rachel's Valentina,,,,,,,,,,"Gainesway, Agent for Stonestreet Bred & Raised ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,43,43,Gun Lap,Gun Lap,,,,,B,C,,Y,,,,Runhappy,Runhappy,Rapid Repair,Rapid Repair,,,,,,,,,,"Claiborne Farm, Agent ",,,,Harris Training Center LLC,,,,325000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,44,44,Kanaan,Kanaan,,,,,B,C,,Y,,,,American Pharoah,American Pharoah,Rare Cat,Rare Cat,,,,,,,,,,"Eaton Sales, Agent ",,,,J. B. Bloodstock,,,,170000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,45,45,Westlake Lady,Westlake Lady,,,,,CH,F,,Y,,,,Malibu Moon,Malibu Moon,Ready Signal,Ready Signal,,,,,,,,,,"Brookdale Sales, Agent for Hardacre Farm LLC ",,,,Kings Equine,,,,120000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,46,46,American Great,American Great,,,,,B,C,,Y,,,,American Pharoah,American Pharoah,Red Carpet Miss,Red Carpet Miss,,,,,,,,,,"Paramount Sales, Agent LXIX ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,47,47,Ravir,Ravir,,,,,DB/BR,F,,Y,,,,Uncle Mo,Uncle Mo,Rejoicing,Rejoicing,,,,,,,,,,"Four Star Sales, Agent ",,,,"Green Lantern Stables, LLC Patrick Masson, Agent",,,,300000,,,,,T,
2019,Y,KEESEPT19,2019-09-09,1,1,48,48,Big Lake,Big Lake,,,,,CH,C,,Y,,,,American Pharoah,American Pharoah,Resistivity,Resistivity,,,,,,,,,,"Legacy Bloodstock, Agent ",,,,"R.N.A. (250,000)",,,,,,,,,T,
